Date,Close
"Oct 08, 2016",3.84
"Oct 07, 2016",3.86
"Oct 06, 2016",3.85
"Oct 05, 2016",3.84
"Oct 04, 2016",3.82
"Oct 03, 2016",3.84
"Oct 02, 2016",3.84
"Oct 01, 2016",3.85
"Sep 30, 2016",3.84
"Sep 29, 2016",3.85
"Sep 28, 2016",3.84
"Sep 27, 2016",3.85
"Sep 26, 2016",3.86
"Sep 25, 2016",3.81
"Sep 24, 2016",3.81
"Sep 23, 2016",3.81
"Sep 22, 2016",3.77
"Sep 21, 2016",3.84
"Sep 20, 2016",3.84
"Sep 19, 2016",3.83
"Sep 18, 2016",4.04
"Sep 17, 2016",3.81
"Sep 16, 2016",3.81
"Sep 15, 2016",3.81
"Sep 14, 2016",3.83
"Sep 13, 2016",3.82
"Sep 12, 2016",3.82
"Sep 11, 2016",3.86
"Sep 10, 2016",3.97
"Sep 09, 2016",3.97
"Sep 08, 2016",3.99
"Sep 07, 2016",3.97
"Sep 06, 2016",3.97
"Sep 05, 2016",3.98
"Sep 04, 2016",4.01
"Sep 03, 2016",3.89
"Sep 02, 2016",3.82
"Sep 01, 2016",3.83
"Aug 31, 2016",3.80
"Aug 30, 2016",3.80
"Aug 29, 2016",3.76
"Aug 28, 2016",3.74
"Aug 27, 2016",3.74
"Aug 26, 2016",3.83
"Aug 25, 2016",3.80
"Aug 24, 2016",3.86
"Aug 23, 2016",3.93
"Aug 22, 2016",3.66
"Aug 21, 2016",3.62
"Aug 20, 2016",3.62
"Aug 19, 2016",3.60
"Aug 18, 2016",3.61
"Aug 17, 2016",3.60
"Aug 16, 2016",3.64
"Aug 15, 2016",3.58
"Aug 14, 2016",3.65
"Aug 13, 2016",3.71
"Aug 12, 2016",3.71
"Aug 11, 2016",3.74
"Aug 10, 2016",3.72
"Aug 09, 2016",3.76
"Aug 08, 2016",3.79
"Aug 07, 2016",3.78
"Aug 06, 2016",3.76
"Aug 05, 2016",3.73
"Aug 04, 2016",3.75
"Aug 03, 2016",3.72
"Aug 02, 2016",3.64
"Aug 01, 2016",3.86
"Jul 31, 2016",4.01
"Jul 30, 2016",4.06
"Jul 29, 2016",4.08
"Jul 28, 2016",3.97
"Jul 27, 2016",3.96
"Jul 26, 2016",3.97
"Jul 25, 2016",4.03
"Jul 24, 2016",4.07
"Jul 23, 2016",4.06
"Jul 22, 2016",4.04
"Jul 21, 2016",4.12
"Jul 20, 2016",4.13
"Jul 19, 2016",4.15
"Jul 18, 2016",4.15
"Jul 17, 2016",4.19
"Jul 16, 2016",4.13
"Jul 15, 2016",4.16
"Jul 14, 2016",4.15
"Jul 13, 2016",4.14
"Jul 12, 2016",4.15
"Jul 11, 2016",4.09
"Jul 10, 2016",4.10
"Jul 09, 2016",4.16
"Jul 08, 2016",4.22
"Jul 07, 2016",4.11
"Jul 06, 2016",4.47
"Jul 05, 2016",4.45
"Jul 04, 2016",4.54
"Jul 03, 2016",4.25
"Jul 02, 2016",4.59
"Jul 01, 2016",4.26
"Jun 30, 2016",4.19
"Jun 29, 2016",4.06
"Jun 28, 2016",4.10
"Jun 27, 2016",4.12
"Jun 26, 2016",4.07
"Jun 25, 2016",4.23
"Jun 24, 2016",4.28
"Jun 23, 2016",3.85
"Jun 22, 2016",3.91
"Jun 21, 2016",4.82
"Jun 20, 2016",5.29
"Jun 19, 2016",5.59
"Jun 18, 2016",5.56
"Jun 17, 2016",5.59
"Jun 16, 2016",5.66
"Jun 15, 2016",5.24
"Jun 14, 2016",5.20
"Jun 13, 2016",5.29
"Jun 12, 2016",5.33
"Jun 11, 2016",5.01
"Jun 10, 2016",4.84
"Jun 09, 2016",4.69
"Jun 08, 2016",4.75
"Jun 07, 2016",4.77
"Jun 06, 2016",4.96
"Jun 05, 2016",4.81
"Jun 04, 2016",4.81
"Jun 03, 2016",4.86
"Jun 02, 2016",4.72
"Jun 01, 2016",4.74
"May 31, 2016",4.65
"May 30, 2016",4.67
"May 29, 2016",4.61
"May 28, 2016",4.70
"May 27, 2016",4.50
"May 26, 2016",4.08
"May 25, 2016",4.05
"May 24, 2016",3.95
"May 23, 2016",3.97
"May 22, 2016",3.93
"May 21, 2016",3.95
"May 20, 2016",3.88
"May 19, 2016",3.83
"May 18, 2016",4.00
"May 17, 2016",3.98
"May 16, 2016",4.01
"May 15, 2016",4.06
"May 14, 2016",4.01
"May 13, 2016",3.93
"May 12, 2016",3.86
"May 11, 2016",3.88
"May 10, 2016",3.82
"May 09, 2016",4.06
"May 08, 2016",3.94
"May 07, 2016",3.95
"May 06, 2016",3.82
"May 05, 2016",3.71
"May 04, 2016",3.75
"May 03, 2016",3.74
"May 02, 2016",3.68
"May 01, 2016",3.71
"Apr 30, 2016",3.66
"Apr 29, 2016",3.81
"Apr 28, 2016",3.79
"Apr 27, 2016",3.89
"Apr 26, 2016",4.05
"Apr 25, 2016",3.81
"Apr 24, 2016",3.63
"Apr 23, 2016",3.33
"Apr 22, 2016",3.32
"Apr 21, 2016",3.35
"Apr 20, 2016",3.28
"Apr 19, 2016",3.29
"Apr 18, 2016",3.24
"Apr 17, 2016",3.26
"Apr 16, 2016",3.27
"Apr 15, 2016",3.28
"Apr 14, 2016",3.24
"Apr 13, 2016",3.24
"Apr 12, 2016",3.26
"Apr 11, 2016",3.24
"Apr 10, 2016",3.23
"Apr 09, 2016",3.22
"Apr 08, 2016",3.22
"Apr 07, 2016",3.25
"Apr 06, 2016",3.26
"Apr 05, 2016",3.25
"Apr 04, 2016",3.25
"Apr 03, 2016",3.26
"Apr 02, 2016",3.26
"Apr 01, 2016",3.24
"Mar 31, 2016",3.26
"Mar 30, 2016",3.22
"Mar 29, 2016",3.23
